mots,fréquence d'apparition depuis début 2023
"['ithnd2x000d', 'x000d', '9mx000d', 'désigner', 'bechu', 'légocentriqu', 'ministre', 'écologique', 'gros', 'blague', 'gouvernement']",1
"['nomm', 'ministre', 'écologique', 'femme', 'enfant', 'mineur', 'actionnaire', 'principal', 'gros', 'boite', 'pétrolier', 'linvention', 'x000d', 'trouve', 'scandal']",1
"['guerre', 'linflation', 'lenfumerie', 'pharma', 'lénergie', 'écologique', 'leau', 'cinquième', 'républiqu', 'constitution', 'dingue', 'quaucun', 'programme', 'politique', 'nai', 'anticiper', 'proposer', 'vrai', 'vision', 'société', 'fr', 'wer']",1
"['présomption', 'dinnocencex000d', 'x000d', 'nomme', 'ministre', 'écologique', 'femme', 'enfant', 'mineur', 'actionnaire', 'principal', 'gros', 'boite', 'pétrolier', 'présomption', 'dinnocence', 'x000d', 'trouve', 'scandal']",1
"['rapport', 'accabler', 'choix', 'énergétique', 'france', 'pert', 'souveraineté', 'divagation', 'politique', 'éloigné', 'écologique', 'lemondefreconomiearticle']",1
"['gouvernement', 'condamner', 'inaction', 'climatique', 'reprise', 'ministre', 'écologique', 'tenir', 'propos', 'limite', 'climatosceptique']",1
"['étude', 'foisonner', 'dénoncer', 'aspect', 'esg', 'négatif', 'minor', 'metal', 'critique', 'prétexte', 'vert', 'écologique', 'irréprochable', 'production', 'métal', 'primaire', 'secondaire', 'pré', 'lnkdine4ffbutu']",1
"['céter', 'projet', 'écologique', 'vouloir', 'emacron', 'guerre', 'ukrain', 'changer', 'donne', 'x000d', 'x000d', 'dabord', 'comprendre', 'juger', 'présentx000d', 'x000d', 'relire', 'mlp', 'x000d', 'googlecomampswwwtf1info']",1
"['mois', 'lancement', 'biden', 'chips', 'act', 'linflation', 'reduction', 'act', 'vaste', 'plan', 'relance', 'écologique', 'post', 'covid', 'doter', '400md', 'financial', 'time', 'rapporter', 'us', 'connaître', 'boom', 'industriel', 'mois', 'venir', 'budget', 'dinvestissement', 'explosent', 'chiffre', 'dingue', '200md', 'projet', 'annoncer', 'août', 'venir', 'létranger', 'nombre', 'mégaprojet', '1md', 'x8', 'v', 'montant', 'investir', 'secteur', 'clé', 'davenir', 'batterie', 'microprocesseur', 'multiplier', 'période', 'ttso']",1
"['jms', 'parlé', 'fusionx000d', 'x000d', 'lautre', 'côté', 'retraire', 'x000d', 'x000d', 'écologique', 'x000d', 'déportation', 'immigré', 'x000d', 'néolibéralisme', 'x000d', 'destruction', 'service', 'public', 'sécu']",1
"['parler', 'snetapfsu', 'agricole', 'écologique', 'loupé', 'épisode']",1
"['résumé', 'prof', 'médecin', 'emploi', 'payer', 'vrai', 'écologique', 'président', 'écout', 'x000d', 'plaignez']",1
"['jour', 'refuser', 'dagir', 'cause', 'linflation', 'créer', 'levier', 'démultiplication', 'linflation', 'écologique', 'multiplier', 'prix', 'lélec', 'x5', 'aller', 'france', 'sahara', 'plan', 'économique', 'social']",1
"['écologique', 'produire', 'chômage', 'contrepointsorg20230417']",1
"['taxonslaspeculation', 'hauteur', 'rapporter', 'milliard', 'financer', 'écologique', 'france', 'bloqu', 'cause', 'brunolemair']",1
"['manonaubryfr', 'fallacieusecesser', 'répandre', 'fieldinciter', 'violencela', 'haine', 'populistevou', 'dire', 'écologique', 'laffaire', 'touscontextualisezle', 'français', 'idiotspeutêtre', 'navez', 'saisir']",1
"['écologique', 'secteur', 'textile', 'adresse', 'industriel', 'marque', 'réaliser', 'détriment', 'activiter', 'commerce', 'détail', 'mesure', 'soutien', 'transitoire', 'ciblée', 'détruire', 'employeur', 'filière', 'centresville']",1
"['numérique', 'participe', 'accélérer', 'écologique', 'arrivon', 'maitriser', 'empreindre', 'environnemental', 'x000d', 'x000d', 'phras', 'résumer', 'vide', 'sidéral', 'contradiction', 'interne', 'technocroissantisme']",1
"['souhaitable', 'écologique', 'justice', 'socialex000d', 'problème']",1
"['mdrr', 'hugoclement', 'voir', 'commentaire', 'x000d', 'mec', 'prendre', 'gueul', 'produit', 'année', 'x000d', 'explicitement', 'financer', 'politique', 'racister', 'financer', 'écologique', 'x000d', 'nioublinipardon']",1
"['excellent', 'nouveau', 'produire', 'davantage', 'coproduir', 'diffuser', 'davantage', 'nom', 'écologique']",1
"['écologie', 'pompili', 'creux', 'écart', 'pointe', 'manqu', 'vision', 'politique', 'macronx000d', 'président', 'emmanuel', 'macron', 'problèm', 'écologique', 'exprimer', 'vision', 'politique', 'récit', 'enjeu', 'regrette', 'ancien', 'ministre']",1
"['renaissance', 'ppl', 'circonstance', 'réaction', 'x000d', 'député', 'bosser', 'vrai', 'problème', 'français', 'écologique', 'lutte', 'chômage', 'reindustrialisation', 'égaliter', 'fh']",1
"['écologique', 'régulation', 'démographie']",1
"['contraire', 'écologiste', 'capitaliste', 'apport', 'monstrueux', 'capital', 'nécessaire', 'écologique', 'linnovation', 'technologique', 'carbon']",1
"['mauvais', 'langue', 'écologique', 'bâtiment', 'rapidement', 'sûr']",1
"['enseignement', 'agricole', 'écologique', 'confisquez', 'débat', 'signer', 'pétition', 'chngit26zcvmry', 'changefrance']",1
"['écologique', 'sobriéter', 'réduction', 'dépense', 'public', 'x000d']",1
"['carrément', 'triste', 'voir', 'vert', 'devenu', 'machine', 'dogmatique', 'bornée', 'quà', 'lheure', 'nécessaire', 'écologique', 'falloir', 'politique', 'constructif', 'capable', 'fédérer', 'impulser', 'cliver', 'servir', 'soupe', 'insoumis']",1
"['devoir', 'lâcher', 'bouffon', 'avenir', 'chose', 'important', 'écologique', 'mandat', 'terminer']",1
"['tweet', 'abandon', 'politiquement', 'correctx000d', 'écologique', 'mobilité', 'territoir', 'poncif', 'politiquemer', 'correctx000d', 'manqu', 'résilience']",1
"['saintesolin', 'arrêter', 'fable', 'estime', 'christophebechux000d', 'x000d', 'ministre', 'écologique', 'évoqu', 'déferlemer', 'violence', 'inouï', 'deuxsèvre', 'condamner', 'scène', 'weekend', 'x000d', 'x000d', 'le7930inter']",1
"['écologique', 'barbara', 'pompili', 'charger', 'étude', 'acceptabilité', 'social', 'zone', 'faible', 'émission', 'buffly3ltzejp', 'extraire', 'briefing', 'contextetransp']",1
"['ministre', 'monsieur', 'born', 'ministre', 'transport', 'ministre', 'écologique', 'ministre', 'travail', 'ministre', 'conseiller', 'jack', 'lang', 'lionel', 'jospin', 'bertrand', 'delano', 'préfete', 'pdg', 'ratp']",1
"['ministre', 'écologique', 'x000d', 'savoir', 'jespèr', 'haie', 'bocage', 'important', 'cycle', 'leaux000d', 'prendre', 'leçon', 'regarder', 'vidéo', 'chose', 'oublier', 'lagroéconomie', 'prôner', 'fnsea']",1
"['principal', 'technologie', 'vert', 'fabriquer', 'chinex000d', 'x000d', 'ambivalence', 'financement', 'écologique', 'profit', 'régim', 'autoritairex000d', 'michelbm33x000d', 'elementsvisualcapitalistco']",1
['écologiquefnseaeuh'],1
"['facile', 'appréhender', 'écologique', 'désinformation', 'média', 'politique']",1
"['responsabiliter', 'incombe', 'politique', 'refuser', 'dialogue', 'social', 'écologique', 'régler', 'violence', 'répression', 'préparer', 'terrain', 'fascisme', 'lavoir', 'consciencieusement', 'dédiaboliser']",1
"['débitumer', 'dégoudronner', 'progressivement', 'sol', 'végétation', 'montreuil', 'poursuivre', 'engagement', 'écologique', 'cm93100']",1
"['conseil', 'municipal', 'gennevillier', 'x000d', 'budget', 'service', 'écologique', 'soutien', 'habitant', 'x000d', 'daugmentation', 'impôt', 'x000d', 'daugmentation', 'tarif', 'prestation', 'municipal']",1
"['nécessaire', 'dengager', 'moyen', 'écologique', 'cm93100']",1
