Content,Clean_Tweet,Date
"12/ C’est le bordel ? Les contrôleurs participent à la production de ce bénéfice, dans des activités privées alors que faire circuler des trains à grande vitesse, pour la transition écologique, ça ne devrait pas obéir aux logiques du marché.","['bordel', 'contrôleur', 'participer', 'production', 'bénéfice', 'activité', 'privé', 'circuler', 'train', 'grand', 'vitesse', 'transition', 'écologique', 'obéir', 'logique', 'marché']",2023-01-02
Un petit pas vers une transition écologique.,"['petit', 'transition', 'écologique']",2023-01-02
"Belle cérémonie des vœux d'@Angers, pleine d'optimisme pour 2023 ! Cérémonie présidée par @JM_Verchere en présence de @ChristopheBechu _x000D_
La transition écologique au cœur des enjeux de l'année, notamment par les actions sur la mobilité et l'habitat. @GRDF vous accompagne !","['bel', 'cérémonie', 'vœux', 'danger', 'plein', 'doptimism', 'cérémonie', 'présider', 'jmverchere', 'présence', 'christophebechu', 'x000d', 'transition', 'écologique', 'cœur', 'enjeux', 'lanner', 'action', 'mobilité', 'lhabitat', 'grdf', 'accompagne']",2023-01-02
"Le collectif Non au parking silo a manifesté à juste titre son opposition au projet de parking 300 places en plein centre-ville d’#Angers pendant l’allocution du min. de la transition écologique @ChristopheBechu _x000D_
👉 Un projet à l’encontre de tous nos engagements pour le #climat","['collectif', 'parking', 'silo', 'manifesté', 'titre', 'opposition', 'projet', 'parking', 'place', 'centrevill', 'anger', 'allocution', 'min', 'transition', 'écologique', 'christophebechu', 'x000d', 'projet', 'encontre', 'engagement', 'climat']",2023-01-02
Ben pourquoi croyez que @AgnesRunacher héritière d'un magnat du pétrole a été nommée à la transition écologique ?,"['ben', 'croyez', 'agnesrunacher', 'héritier', 'magnat', 'pétrol', 'nommer', 'transition', 'écologique']",2023-01-02
"Lundi 02 janvier 2023  Depuis le 1er janvier 2023, les enseignes de restauration rapide de plus vingt couverts n’ont plus le droit d’utiliser de la vaisselle jetable. Lundi 2 janvier 2023, Christophe Béchu, ministre de la Transition écologique, es... lemans.maville.com/actu/actu…","['lundi', 'janvier', 'premier', 'janvier', 'enseigne', 'restauration', 'rapide', 'couvert', 'droit', 'utiliser', 'vaissell', 'jetable', 'lundi', 'janvier', 'christophe', 'béchu', 'ministre', 'transition', 'écologique', 'lemansmavillecomactuactu']",2023-01-02
"[#Recrutement #RSE]_x000D_
Stage RSE et transition écologique H/F_x000D_
#CCI des Côtes d'Armor H/F Saint-Brieuc #Bretagne_x000D_
orientation-environnement.fr…","['recrutement', 'rsex000d', 'stage', 'rs', 'transition', 'écologique', 'hfx000d', 'cci', 'côte', 'darmor', 'hf', 'saintbrieuc', 'bretagnex000d', 'orientationenvironnementfr']",2023-01-02
Transition écologique des bâtiments tertiaires: Spie se positionne sur un marché à plusieurs milliards d'euros latribune.fr/entreprises-fin…,"['transition', 'écologique', 'bâtiment', 'tertiaire', 'spi', 'positionn', 'marché', 'milliard', 'deuro', 'latribunefrentreprisesfin']",2023-01-02
"La transition écologique, un leurre doublé d’une chimère ! L'édito de Fabrice Bonnifet (@FBonnifet), président du @c3_d > tf1info.fr/environnement-eco… #DeveloppementDurable","['transition', 'écologique', 'leurre', 'doublé', 'chimérer', 'lédito', 'fabrice', 'bonnifet', 'fbonnifet', 'président', 'c3d', 'tf1infofrenvironnementeco', 'developpementdurabl']",2023-01-02
Déchets : le ministre de la Transition écologique salue la fin du jetable dans un McDo du Mans (Ouest-France) dlvr.it/SgGmLs,"['déchet', 'ministr', 'transition', 'écologique', 'saluer', 'fin', 'jetable', 'mcdo', 'mans', 'ouestfrance', 'dlvritsggml']",2023-01-02
Transition écologique pour moins polluer,"['transition', 'écologique', 'polluer']",2023-01-02
"Reportage sur la bite : Brigade d’Intervention pour la Transition Ecologique _x000D_
_x000D_
Hilarant _x000D_
_x000D_
fb.watch/hQsQoErr52/","['reportage', 'bite', 'brigade', 'intervention', 'transition', 'ecologiqu', 'x000d', 'x000d', 'hilarer', 'x000d', 'x000d', 'fbwatchhqsqoerr52']",2023-01-03
"Nous avons échangé avec @sarahelhairy sur le Service National Universel et l’engagement citoyen de notre jeunesse._x000D_
_x000D_
Une belle opportunité d'allier cohésion et formation à la transition écologique. C'est notre engagement !","['échangé', 'sarahelhairy', 'service', 'national', 'universel', 'engagement', 'citoyen', 'jeunessex000d', 'x000d', 'bel', 'opportunité', 'dallier', 'cohésion', 'formation', 'transition', 'écologique', 'engagement']",2023-01-03
Alors le lien entre SNU et écologie va falloir qu’on m’explique … « formation à la transition écologique » À deux doigts d’inventer l’école non ? Nouvelle gabegie de la droite la plus bête du monde ..!,"['snu', 'écologie', 'falloir', 'expliquer', 'formation', 'transition', 'écologique', 'doigt', 'inventer', 'école', 'nouveau', 'gabegie', 'bête', 'mond']",2023-01-03
bizarrement c'est pas la transition écologique qui passe en 49.3 c'est fou,"['bizarrement', 'transition', 'écologique', 'passer', 'fou']",2023-01-03
